"subj_inits","subj_email","lang","lang_other","years_train","device_samp_hz","headphoneCheck","task","cur_trial","trial_type","freq1","freq2","response","correct","staircase_track","staircase","staircase_track0","staircase_track1","diff"
"YS","yaels","English","NA","0","44100","3","4","70","0","440","461.43649366877844","0","true","NaN","1","NaN","6","0.8235429999999998"
"YS","yaels","English","NA","0","44100","3","4","71","1","440","389.94596565694724","1","true","NaN","0","1","NaN","2.090751581287689"
"YS","yaels","English","NA","0","44100","3","4","72","1","440","425.5897825538624","0","false","NaN","1","NaN","0","0.5764800999999998"
"YS","yaels","English","NA","0","44100","3","4","73","1","440","384.7484232929934","1","true","NaN","0","2","NaN","2.3230573125418768"
"YS","yaels","English","NA","0","44100","3","4","74","1","440","419.55936007733055","0","false","NaN","1","NaN","0","0.8235429999999998"
"YS","yaels","English","NA","0","44100","3","4","75","0","440","510.7443795669641","0","true","NaN","0","3","NaN","2.581174791713196"
"YS","yaels","English","NA","0","44100","3","4","76","0","440","470.9403563841102","0","true","NaN","1","NaN","1","1.1764899999999998"
"YS","yaels","English","NA","0","44100","3","4","77","0","440","503.18594769800967","0","true","NaN","0","4","NaN","2.3230573125418768"
"YS","yaels","English","NA","0","44100","3","4","78","1","440","399.2922831944648","1","true","NaN","1","NaN","2","1.6806999999999999"
"YS","yaels","English","NA","0","44100","3","4","79","0","440","496.4790433819191","0","true","NaN","0","5","NaN","2.090751581287689"
"YS","yaels","English","NA","0","44100","3","4","80","1","440","383.020123101444","1","true","NaN","1","NaN","3","2.401"
"YS","yaels","English","NA","0","44100","3","4","81","1","440","394.6837592015466","1","true","NaN","0","6","NaN","1.8816764231589203"
"YS","yaels","English","NA","0","44100","3","4","82","1","440","399.2922831944648","1","true","NaN","1","NaN","4","1.6806999999999999"
"YS","yaels","English","NA","0","44100","3","4","83","0","440","485.21671683520333","0","true","NaN","0","7","NaN","1.6935087808430282"
"YS","yaels","English","NA","0","44100","3","4","84","0","440","470.9403563841102","0","true","NaN","1","NaN","5","1.1764899999999998"
"YS","yaels","English","NA","0","44100","3","4","85","1","440","402.9191470537977","1","true","NaN","0","8","NaN","1.5241579027587255"
"YS","yaels","English","NA","0","44100","3","4","86","0","440","461.43649366877844","1","false","NaN","1","NaN","0","0.8235429999999998"
"YS","yaels","English","NA","0","44100","3","4","87","0","440","476.281782150808","0","true","NaN","0","9","NaN","1.371742112482853"
"YS","yaels","English","NA","0","44100","3","4","88","0","440","470.9403563841102","0","true","NaN","1","NaN","1","1.1764899999999998"
"YS","yaels","English","NA","0","44100","3","4","89","0","440","472.52287820425596","0","true","NaN","0","10","NaN","1.2345679012345678"
"YS","yaels","English","NA","0","44100","3","4","90","1","440","399.2922831944648","1","true","NaN","1","NaN","2","1.6806999999999999"
"YS","yaels","English","NA","0","44100","3","4","91","0","440","469.1652357400084","0","true","NaN","0","11","NaN","1.1111111111111112"
"YS","yaels","English","NA","0","44100","3","4","92","0","440","505.4564716661748","0","true","NaN","1","NaN","3","2.401"
"YS","yaels","English","NA","0","44100","3","4","93","0","440","466.1637615180898","0","true","NaN","0","12","NaN","1"
"YS","yaels","English","NA","0","44100","3","4","94","1","440","399.2922831944648","1","true","NaN","1","NaN","4","1.6806999999999999"
